"CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE","YEAR.BUILT","CONFIRMED.UNITS","CONFIRMED.STOREYS","BUILDING.CLEANLINESS","BUILDING.EXTERIOR","COMMON.AREA.PESTS"
92,"PRIVATE",1964,305,8,3,2,3
89,"TCHC",1986,239,14,2,3,3
95,"TCHC",1986,239,14,3,2,3
80,"PRIVATE",1970,118,12,2,1,3
95,"PRIVATE",1970,233,13,3,2,3
97,"PRIVATE",1970,233,13,3,2,3
91,"PRIVATE",1963,265,18,3,2,3
97,"PRIVATE",1963,265,18,3,3,3
92,"PRIVATE",1968,304,19,3,3,3
88,"PRIVATE",1968,83,7,3,1,3
93,"PRIVATE",1968,83,7,3,2,3
70,"PRIVATE",1966,40,4,1,1,3
86,"PRIVATE",1966,40,4,3,2,3
85,"PRIVATE",1965,133,11,3,2,3
88,"PRIVATE",1965,133,11,3,2,3
97,"PRIVATE",1970,137,19,3,3,3
97,"PRIVATE",1970,137,19,3,3,3
95,"PRIVATE",1972,138,18,3,3,3
95,"PRIVATE",1970,137,19,2,2,3
96,"PRIVATE",1970,138,18,2,2,3
90,"PRIVATE",1967,222,16,3,3,3
98,"PRIVATE",1967,222,16,3,2,3
85,"PRIVATE",1967,219,22,2,2,3
99,"PRIVATE",1967,219,22,3,2,3
91,"PRIVATE",1963,91,10,3,3,3
95,"PRIVATE",1963,91,10,3,2,3
94,"PRIVATE",1964,65,8,3,3,3
95,"PRIVATE",1964,65,8,3,2,3
95,"PRIVATE",1963,25,4,3,2,3
96,"PRIVATE",2023,140,12,2,3,3
100,"PRIVATE",2023,140,12,3,3,3
92,"PRIVATE",1963,38,4,3,3,3
84,"PRIVATE",1961,58,4,2,2,2
87,"PRIVATE",1961,58,4,3,2,3
95,"PRIVATE",1963,76,7,3,3,3
93,"PRIVATE",1959,63,7,3,2,3
88,"PRIVATE",1965,112,8,1,3,3
87,"PRIVATE",1965,112,8,1,2,3
73,"PRIVATE",1961,64,4,3,2,1
100,"PRIVATE",2024,479,44,3,3,3
87,"PRIVATE",1972,58,10,3,1,3
94,"TCHC",2018,77,7,2,3,3
97,"TCHC",2018,77,7,3,3,3
100,"PRIVATE",2023,238,26,3,3,3
80,"TCHC",1993,11,3,1,1,3
88,"TCHC",1993,11,3,3,2,3
71,"PRIVATE",1970,24,3,2,1,3
75,"PRIVATE",1970,24,3,2,1,3
85,"PRIVATE",1958,17,3,3,1,3
81,"PRIVATE",1968,305,20,2,2,2
80,"PRIVATE",1968,305,20,2,3,3
91,"PRIVATE",1970,304,20,3,3,3
98,"PRIVATE",1970,304,20,3,3,3
89,"PRIVATE",1970,286,24,3,3,3
96,"PRIVATE",1970,286,24,3,3,3
95,"PRIVATE",1970,298,25,3,3,3
93,"PRIVATE",1962,60,6,3,2,3
94,"PRIVATE",1962,60,6,2,1,3
92,"PRIVATE",1962,70,6,3,2,3
95,"PRIVATE",1962,70,6,3,2,3
92,"PRIVATE",1960,112,6,2,3,3
